figure,panel,series,seed,x,value,detail
2,B,random_matched,515,28,-0.031166208847026842,seed mean across memories
2,C,random_matched,515,28,0.07142857142857144,seed mean across memories
2,B,random_matched,516,28,0.010185004541884004,seed mean across memories
2,C,random_matched,516,28,0.10714285714285718,seed mean across memories
2,B,random_matched,517,28,0.013341638976329766,seed mean across memories
2,C,random_matched,517,28,0.11428571428571431,seed mean across memories
2,B,random_matched,518,28,0.03453200238488071,seed mean across memories
2,C,random_matched,518,28,0.12142857142857147,seed mean across memories
2,B,random_matched,519,28,0.018717764194193652,seed mean across memories
2,C,random_matched,519,28,0.11428571428571431,seed mean across memories
2,B,no_plasticity,500,28,0.005640010247358099,seed mean across memories
2,C,no_plasticity,500,28,0.0785714285714286,seed mean across memories
2,B,no_plasticity,501,28,0.0005947211010072942,seed mean across memories
2,C,no_plasticity,501,28,0.09285714285714287,seed mean across memories
2,B,no_plasticity,502,28,-0.054519709135684755,seed mean across memories
2,C,no_plasticity,502,28,0.03571428571428572,seed mean across memories
2,B,no_plasticity,503,28,0.009767459515604145,seed mean across memories
2,C,no_plasticity,503,28,0.08571428571428573,seed mean across memories
2,B,no_plasticity,504,28,0.06025890667464524,seed mean across memories
2,C,no_plasticity,504,28,0.13571428571428573,seed mean across memories
2,B,no_plasticity,505,28,0.009701498917055445,seed mean across memories
2,C,no_plasticity,505,28,0.09285714285714287,seed mean across memories
2,B,no_plasticity,506,28,0.009139921203429343,seed mean across memories
2,C,no_plasticity,506,28,0.09285714285714287,seed mean across memories
2,B,no_plasticity,507,28,0.012094617215870313,seed mean across memories
2,C,no_plasticity,507,28,0.1,seed mean across memories
2,B,no_plasticity,508,28,-0.012631913692299379,seed mean across memories
2,C,no_plasticity,508,28,0.07142857142857144,seed mean across memories
2,B,no_plasticity,509,28,0.02171519403863284,seed mean across memories
2,C,no_plasticity,509,28,0.10000000000000002,seed mean across memories
2,B,no_plasticity,510,28,-0.005960667186180165,seed mean across memories
2,C,no_plasticity,510,28,0.0785714285714286,seed mean across memories
2,B,no_plasticity,511,28,0.010376274915567283,seed mean across memories
2,C,no_plasticity,511,28,0.08571428571428574,seed mean across memories
2,B,no_plasticity,512,28,0.0006510007131307944,seed mean across memories
2,C,no_plasticity,512,28,0.08571428571428573,seed mean across memories
2,B,no_plasticity,513,28,0.02067619413996691,seed mean across memories
2,C,no_plasticity,513,28,0.09285714285714287,seed mean across memories
2,B,no_plasticity,514,28,0.03367944078589004,seed mean across memories
2,C,no_plasticity,514,28,0.12142857142857147,seed mean across memories
2,B,no_plasticity,515,28,0.009699997873718122,seed mean across memories
2,C,no_plasticity,515,28,0.09285714285714287,seed mean across memories
2,B,no_plasticity,516,28,0.0021310018981614705,seed mean across memories
2,C,no_plasticity,516,28,0.0785714285714286,seed mean across memories
2,B,no_plasticity,517,28,0.05462867378013297,seed mean across memories
2,C,no_plasticity,517,28,0.1285714285714286,seed mean across memories
2,B,no_plasticity,518,28,-0.00582535252056366,seed mean across memories
2,C,no_plasticity,518,28,0.07142857142857144,seed mean across memories
2,B,no_plasticity,519,28,-0.009804760491360436,seed mean across memories
2,C,no_plasticity,519,28,0.07857142857142858,seed mean across memories
2,E,fixed_decoder,1100,0.0,0.6173608303070068,fraction coordinates permuted
2,E,fixed_decoder,1100,0.1,0.5264021754264832,fraction coordinates permuted
2,E,fixed_decoder,1100,0.25,0.4301014542579651,fraction coordinates permuted
2,E,fixed_decoder,1100,0.5,0.2445245385169983,fraction coordinates permuted
2,E,fixed_decoder,1100,0.75,0.06884385645389557,fraction coordinates permuted
2,E,fixed_decoder,1100,1.0,0.009349163621664047,fraction coordinates permuted
2,E,matched_decoder,1100,1.0,0.6173608899116516,full permutation rescue
2,E,fixed_decoder,1101,0.0,0.6526877880096436,fraction coordinates permuted
2,E,fixed_decoder,1101,0.1,0.564597487449646,fraction coordinates permuted
2,E,fixed_decoder,1101,0.25,0.4246828854084015,fraction coordinates permuted
2,E,fixed_decoder,1101,0.5,0.23438888788223267,fraction coordinates permuted
2,E,fixed_decoder,1101,0.75,0.09987999498844147,fraction coordinates permuted
2,E,fixed_decoder,1101,1.0,0.017311301082372665,fraction coordinates permuted
2,E,matched_decoder,1101,1.0,0.6526877880096436,full permutation rescue
2,E,fixed_decoder,1102,0.0,0.598280131816864,fraction coordinates permuted
2,E,fixed_decoder,1102,0.1,0.4915231168270111,fraction coordinates permuted
2,E,fixed_decoder,1102,0.25,0.48353976011276245,fraction coordinates permuted
2,E,fixed_decoder,1102,0.5,0.22699202597141266,fraction coordinates permuted
2,E,fixed_decoder,1102,0.75,0.08053635060787201,fraction coordinates permuted
2,E,fixed_decoder,1102,1.0,0.022381741553544998,fraction coordinates permuted
2,E,matched_decoder,1102,1.0,0.598280131816864,full permutation rescue
2,E,fixed_decoder,1103,0.0,0.6123830080032349,fraction coordinates permuted
2,E,fixed_decoder,1103,0.1,0.5029690861701965,fraction coordinates permuted
2,E,fixed_decoder,1103,0.25,0.4335632622241974,fraction coordinates permuted
2,E,fixed_decoder,1103,0.5,0.21469765901565552,fraction coordinates permuted
2,E,fixed_decoder,1103,0.75,0.13177558779716492,fraction coordinates permuted
2,E,fixed_decoder,1103,1.0,0.004187146667391062,fraction coordinates permuted
2,E,matched_decoder,1103,1.0,0.6123830080032349,full permutation rescue
2,E,fixed_decoder,1104,0.0,0.6610962748527527,fraction coordinates permuted
2,E,fixed_decoder,1104,0.1,0.5796029567718506,fraction coordinates permuted
2,E,fixed_decoder,1104,0.25,0.4729854464530945,fraction coordinates permuted
2,E,fixed_decoder,1104,0.5,0.28140994906425476,fraction coordinates permuted
2,E,fixed_decoder,1104,0.75,0.08663500845432281,fraction coordinates permuted
2,E,fixed_decoder,1104,1.0,0.010476935654878616,fraction coordinates permuted
2,E,matched_decoder,1104,1.0,0.6610962152481079,full permutation rescue
2,E,fixed_decoder,1105,0.0,0.6313208937644958,fraction coordinates permuted
2,E,fixed_decoder,1105,0.1,0.5309349298477173,fraction coordinates permuted
2,E,fixed_decoder,1105,0.25,0.4735208749771118,fraction coordinates permuted
2,E,fixed_decoder,1105,0.5,0.2689836323261261,fraction coordinates permuted
2,E,fixed_decoder,1105,0.75,0.03029092215001583,fraction coordinates permuted
2,E,fixed_decoder,1105,1.0,-0.007019438780844212,fraction coordinates permuted
2,E,matched_decoder,1105,1.0,0.6313208937644958,full permutation rescue
2,E,fixed_decoder,1106,0.0,0.6176116466522217,fraction coordinates permuted
2,E,fixed_decoder,1106,0.1,0.5309255123138428,fraction coordinates permuted
2,E,fixed_decoder,1106,0.25,0.4105229675769806,fraction coordinates permuted
2,E,fixed_decoder,1106,0.5,0.30515938997268677,fraction coordinates permuted
2,E,fixed_decoder,1106,0.75,0.07877452671527863,fraction coordinates permuted
2,E,fixed_decoder,1106,1.0,0.023086342960596085,fraction coordinates permuted
2,E,matched_decoder,1106,1.0,0.6176117062568665,full permutation rescue
2,E,fixed_decoder,1107,0.0,0.6585415005683899,fraction coordinates permuted
2,E,fixed_decoder,1107,0.1,0.6033991575241089,fraction coordinates permuted
2,E,fixed_decoder,1107,0.25,0.4912698566913605,fraction coordinates permuted
2,E,fixed_decoder,1107,0.5,0.24469809234142303,fraction coordinates permuted
2,E,fixed_decoder,1107,0.75,0.07079695165157318,fraction coordinates permuted
2,E,fixed_decoder,1107,1.0,-0.051882460713386536,fraction coordinates permuted
2,E,matched_decoder,1107,1.0,0.6585415005683899,full permutation rescue
2,E,fixed_decoder,1108,0.0,0.6189629435539246,fraction coordinates permuted
2,E,fixed_decoder,1108,0.1,0.5317348837852478,fraction coordinates permuted
2,E,fixed_decoder,1108,0.25,0.4266984164714813,fraction coordinates permuted
2,E,fixed_decoder,1108,0.5,0.3111891448497772,fraction coordinates permuted
2,E,fixed_decoder,1108,0.75,0.04600340127944946,fraction coordinates permuted
2,E,fixed_decoder,1108,1.0,-0.011113281361758709,fraction coordinates permuted
2,E,matched_decoder,1108,1.0,0.6189629435539246,full permutation rescue
2,E,fixed_decoder,1109,0.0,0.6648907661437988,fraction coordinates permuted
2,E,fixed_decoder,1109,0.1,0.6041383743286133,fraction coordinates permuted
2,E,fixed_decoder,1109,0.25,0.4617651402950287,fraction coordinates permuted
2,E,fixed_decoder,1109,0.5,0.24875952303409576,fraction coordinates permuted
2,E,fixed_decoder,1109,0.75,0.12394419312477112,fraction coordinates permuted
2,E,fixed_decoder,1109,1.0,0.007694955915212631,fraction coordinates permuted
2,E,matched_decoder,1109,1.0,0.6648908257484436,full permutation rescue
2,E,fixed_decoder,1110,0.0,0.6096874475479126,fraction coordinates permuted
2,E,fixed_decoder,1110,0.1,0.5403392314910889,fraction coordinates permuted
2,E,fixed_decoder,1110,0.25,0.3266030251979828,fraction coordinates permuted
2,E,fixed_decoder,1110,0.5,0.29031920433044434,fraction coordinates permuted
2,E,fixed_decoder,1110,0.75,0.0847412720322609,fraction coordinates permuted
2,E,fixed_decoder,1110,1.0,-0.012152954004704952,fraction coordinates permuted
2,E,matched_decoder,1110,1.0,0.6096874475479126,full permutation rescue
2,E,fixed_decoder,1111,0.0,0.6313136219978333,fraction coordinates permuted
2,E,fixed_decoder,1111,0.1,0.5255941152572632,fraction coordinates permuted
2,E,fixed_decoder,1111,0.25,0.4592019021511078,fraction coordinates permuted
2,E,fixed_decoder,1111,0.5,0.2630380690097809,fraction coordinates permuted
2,E,fixed_decoder,1111,0.75,0.11200430244207382,fraction coordinates permuted
2,E,fixed_decoder,1111,1.0,-0.034837208688259125,fraction coordinates permuted
2,E,matched_decoder,1111,1.0,0.6313136219978333,full permutation rescue
2,E,fixed_decoder,1112,0.0,0.6084250211715698,fraction coordinates permuted
2,E,fixed_decoder,1112,0.1,0.524682343006134,fraction coordinates permuted
2,E,fixed_decoder,1112,0.25,0.42807579040527344,fraction coordinates permuted
2,E,fixed_decoder,1112,0.5,0.311585009098053,fraction coordinates permuted
2,E,fixed_decoder,1112,0.75,0.1073387935757637,fraction coordinates permuted
2,E,fixed_decoder,1112,1.0,0.013765184208750725,fraction coordinates permuted
2,E,matched_decoder,1112,1.0,0.6084250211715698,full permutation rescue
2,E,fixed_decoder,1113,0.0,0.6576792597770691,fraction coordinates permuted
2,E,fixed_decoder,1113,0.1,0.5084158182144165,fraction coordinates permuted
2,E,fixed_decoder,1113,0.25,0.4923265278339386,fraction coordinates permuted
2,E,fixed_decoder,1113,0.5,0.2638956904411316,fraction coordinates permuted
2,E,fixed_decoder,1113,0.75,0.10924625396728516,fraction coordinates permuted
2,E,fixed_decoder,1113,1.0,-0.019211599603295326,fraction coordinates permuted
2,E,matched_decoder,1113,1.0,0.6576792597770691,full permutation rescue
2,E,fixed_decoder,1114,0.0,0.599888265132904,fraction coordinates permuted
2,E,fixed_decoder,1114,0.1,0.5315012335777283,fraction coordinates permuted
